onset	duration	trial_type
17.9	1.6	odorless
27	2.4	mint-Men
37.2	2.3	lemon-Lim
49.2	0.3	eucal-Euc
57	2.1	yuzu-Cit
67.7	1.8	yuzu-Lim
77.9	1.6	odorless
87	2.5	lemon-Cit
98.7	0.8	mint-Men
107.7	1.8	eucal-Euc
117	2.5	eucal-Men
127	2	mint-Euc
138.3	1.2	odorless
147.9	1.6	lemon-Cit
157	2.5	yuzu-Lim
167.8	1.7	yuzu-Cit
178.1	1.4	lemon-Lim
188	1.5	eucal-Euc
197	2.3	odorless
208	1.5	mint-Men
218.3	1.2	mint-Euc
227	0.3	yuzu-Cit
228.7	0.8	yuzu-Cit
238	1.5	eucal-Men
258.1	1.4	odorless
267.1	2.4	mint-Men
277	2.5	eucal-Euc
298.6	0.9	yuzu-Cit
307.9	1.6	lemon-Lim
317.4	2.1	odorless
327.4	2.1	eucal-Men
338	1.5	lemon-Lim
347.8	1.7	mint-Euc
357.6	1.9	yuzu-Cit
367.4	2.1	eucal-Euc
377.7	1.8	lemon-Cit
388	1.5	mint-Men
397.9	1.6	yuzu-Lim
408.2	1.3	odorless
418.8	0.7	yuzu-Lim
427	2.5	odorless
437.8	1.7	lemon-Cit
447.5	2	eucal-Men
457.6	1.9	mint-Euc
468.1	1.4	yuzu-Cit
477.7	1.8	lemon-Lim
487	2.5	mint-Euc
497.9	1.6	odorless
507.9	1.6	eucal-Men
