onset	duration	trial_type
17.4	2.1	lemon-Cit
27.3	2	yuzu-Lim
37.1	2.2	eucal-Euc
47.2	1.9	odorless
57.2	2.2	mint-Men
67	2	mint-Euc
77.3	2	lemon-Cit
87.3	2.1	eucal-Men
97	2.3	yuzu-Lim
107.4	2.1	odorless
117.3	2.2	lemon-Lim
127	2	odorless
137.2	2.1	yuzu-Cit
147.5	2	mint-Men
157.4	2	eucal-Euc
167.2	1.9	eucal-Men
177	1.9	mint-Euc
187.6	1.6	odorless
197.7	1.7	yuzu-Cit
207.5	1.5	lemon-Lim
217.4	1.8	odorless
227.3	1.7	mint-Men
237.4	1.8	yuzu-Lim
247.4	1.8	eucal-Euc
257.5	1.8	lemon-Cit
267.6	1.7	lemon-Lim
277.4	1.7	odorless
287.1	2	yuzu-Cit
297.7	1.7	eucal-Men
307.6	1.6	mint-Euc
317.5	1.8	lemon-Cit
327.2	1.8	yuzu-Lim
337	1.9	mint-Euc
347.5	1.9	odorless
357	2.2	eucal-Men
367.7	1.6	odorless
377.6	1.6	eucal-Men
387	2.4	yuzu-Lim
397.7	1.8	mint-Euc
407.6	1.9	lemon-Cit
417.6	1.9	eucal-Euc
427.8	1.7	yuzu-Cit
437.1	2.2	mint-Men
447.6	1.8	lemon-Lim
457.2	2.1	odorless
467.3	2.1	mint-Men
477.5	2	eucal-Euc
487.2	2	odorless
497.2	2.2	lemon-Cit
507	2	yuzu-Lim
