onset	duration	trial_type
17.1	2.4	yuzu-Lim
27.7	1.8	odorless
37.9	1.6	lemon-Cit
47.6	1.9	mint-Men
57.4	2.1	eucal-Euc
67.5	2	yuzu-Cit
77.5	2	lemon-Lim
87.8	1.7	eucal-Euc
97.1	2	odorless
107	0.7	mint-Men
108.3	1.2	mint-Men
117	0.3	odorless
118.6	0.9	odorless
127.6	1.9	mint-Men
137.7	1.8	lemon-Lim
148.4	1.1	eucal-Euc
157.4	2	yuzu-Cit
167.3	2.2	mint-Euc
177	1.7	yuzu-Cit
179.2	0.3	yuzu-Cit
187.6	1.9	eucal-Men
197.7	1.8	lemon-Lim
207.7	1.8	odorless
217.3	2	eucal-Men
227	2.2	mint-Euc
237.6	1.9	odorless
247.8	1.7	lemon-Cit
257.4	1.9	yuzu-Lim
267.8	1.7	odorless
277.7	1.8	eucal-Men
287	1.9	lemon-Lim
297.6	1.9	mint-Euc
307.6	1.8	yuzu-Cit
317.3	1.8	yuzu-Lim
327	2.5	odorless
337	2.1	lemon-Cit
347.4	1.7	eucal-Men
357	1.9	mint-Euc
367	2	mint-Men
377.4	2.1	eucal-Euc
387.4	1.8	odorless
397.4	1.7	yuzu-Cit
407.2	1.9	lemon-Lim
417	2	yuzu-Cit
427	2	lemon-Lim
437.4	1.6	mint-Euc
447.2	1.9	odorless
457.5	1.9	eucal-Men
467.7	1.8	eucal-Euc
477.3	1.9	lemon-Cit
487.3	1.9	mint-Men
497.3	1.6	yuzu-Lim
507.3	2.2	odorless
