onset	duration	trial_type
18.4	1.1	lemon-Cit
27.1	1.5	yuzu-Lim
38.8	0.7	eucal-Euc
47.2	1.6	odorless
58.9	0.6	mint-Men
67.3	2	mint-Euc
77.9	1.6	lemon-Cit
87.2	1.3	eucal-Men
97.1	1.4	yuzu-Lim
99	0.5	yuzu-Lim
107	1.4	odorless
117	1	lemon-Lim
128.7	0.8	odorless
137.1	1.3	yuzu-Cit
147.6	1.9	mint-Men
157	1.1	eucal-Euc
158.7	0.8	eucal-Euc
167.7	1.8	eucal-Men
177	0.3	mint-Euc
197.1	1.5	yuzu-Cit
208	1.5	lemon-Lim
218.3	1.2	odorless
228.1	1.2	mint-Men
237	0.8	yuzu-Lim
238.6	0.9	yuzu-Lim
248.2	1.3	eucal-Euc
258.3	1.2	lemon-Cit
267.4	1.4	lemon-Lim
278.1	1.1	odorless
287	0.9	yuzu-Cit
297	0.5	eucal-Men
299.2	0.3	eucal-Men
308.2	1	mint-Euc
317.5	1.9	lemon-Cit
328.1	1.4	yuzu-Lim
338.2	1.3	mint-Euc
348.8	0.7	odorless
358.7	0.8	eucal-Men
367	0.8	odorless
369.2	0.3	odorless
377	0.4	eucal-Men
378.4	1.1	eucal-Men
388	1.5	yuzu-Lim
398.2	1.3	mint-Euc
408.2	1.2	lemon-Cit
418.9	0.6	eucal-Euc
428.5	1	yuzu-Cit
437.3	2.2	mint-Men
447	0.9	lemon-Lim
448.6	0.9	lemon-Lim
457.1	1.4	odorless
467	0.4	mint-Men
469	0.5	mint-Men
477.6	1.5	eucal-Euc
487	1.3	odorless
497	0.4	lemon-Cit
498.5	1	lemon-Cit
508.3	1.2	yuzu-Lim
