onset	duration	trial_type
17	1.8	lemon-Cit
27	1.8	yuzu-Lim
37.4	1.8	eucal-Euc
47	0.3	odorless
48.2	1.3	odorless
57.8	1.7	mint-Men
67	1.3	mint-Euc
77.1	1.9	lemon-Cit
87	1	eucal-Men
89.2	0.3	eucal-Men
97	2	yuzu-Lim
107	1.7	odorless
117	1.9	lemon-Lim
127.8	1.6	odorless
137.3	2	yuzu-Cit
147.6	1.8	mint-Men
157.5	1.7	eucal-Euc
167	2.3	eucal-Men
177	1.1	mint-Euc
178.8	0.7	mint-Euc
187.2	1.7	odorless
197.6	1.7	yuzu-Cit
208	1.5	lemon-Lim
217.7	1.7	odorless
227.6	1.8	mint-Men
237.2	1.8	yuzu-Lim
247.2	2	eucal-Euc
257.6	1.7	lemon-Cit
267.5	1.9	lemon-Lim
277.4	1.5	odorless
287.7	1.8	yuzu-Cit
297.6	1.8	eucal-Men
307.3	1.9	mint-Euc
317.8	1.6	lemon-Cit
327	1.8	yuzu-Lim
337	1.6	mint-Euc
347.5	1.8	odorless
357.1	2.1	eucal-Men
367	0.3	odorless
368.6	0.9	odorless
377	0.3	eucal-Men
378	1.5	eucal-Men
387.6	1.8	yuzu-Lim
397.4	1.9	mint-Euc
407	2	lemon-Cit
417	1.1	eucal-Euc
419.2	0.3	eucal-Euc
427.3	1.8	yuzu-Cit
438.1	1.4	mint-Men
447.3	2	lemon-Lim
457	2.2	odorless
467	1.7	mint-Men
477.3	1.8	eucal-Euc
487.5	1.8	odorless
497	1.9	lemon-Cit
507.1	1.9	yuzu-Lim
