onset	duration	trial_type
17.5	2	odorless
27.3	2.2	mint-Men
37	2.5	lemon-Lim
47.2	2.3	eucal-Euc
57.1	2.4	yuzu-Cit
77.5	2	odorless
87.2	2.3	lemon-Cit
97.2	2.3	mint-Men
107.5	2	eucal-Euc
117.2	2.3	eucal-Men
127.5	2	mint-Euc
137.4	2.1	odorless
147.3	2.2	lemon-Cit
157.4	2.1	yuzu-Lim
167	0.4	yuzu-Cit
167.7	1.8	yuzu-Cit
177.5	2	lemon-Lim
187.1	2.4	eucal-Euc
197.5	2	odorless
207.5	2	mint-Men
217.2	2.3	mint-Euc
227.5	2	yuzu-Cit
237.7	1.8	eucal-Men
247.2	2.3	lemon-Lim
257.5	2	odorless
267	0.5	mint-Men
268.1	1.4	mint-Men
277.6	1.9	eucal-Euc
287.3	2.2	odorless
297.4	2.1	yuzu-Cit
307.4	2.1	lemon-Lim
317.7	1.8	odorless
327.6	1.9	eucal-Men
337.7	1.8	lemon-Lim
347.4	2.1	mint-Euc
357.3	2.2	yuzu-Cit
377.6	1.9	lemon-Cit
387.6	1.9	mint-Men
397	2.5	yuzu-Lim
407.3	2.2	odorless
417	2.5	yuzu-Lim
427.2	2.3	odorless
437	2.5	lemon-Cit
447	2.5	eucal-Men
457	2.5	mint-Euc
467.5	2	yuzu-Cit
477.8	1.7	lemon-Lim
487.5	2	mint-Euc
497.4	2.1	odorless
507.7	1.8	eucal-Men
