onset	duration	trial_type
17	1.1	lemon-Cit
27	0.9	yuzu-Lim
28.9	0.6	yuzu-Lim
38	0.9	eucal-Euc
47	0.5	odorless
48.7	0.8	odorless
58.4	0.7	mint-Men
67	1.6	mint-Euc
77	0.3	lemon-Cit
78.4	0.6	lemon-Cit
87	1.5	eucal-Men
97	0.5	yuzu-Lim
98.7	0.8	yuzu-Lim
107.6	1.4	odorless
118.2	0.9	lemon-Lim
127.2	1.2	odorless
137	1.5	yuzu-Cit
147.5	1.2	mint-Men
158	1.1	eucal-Euc
167.9	1.1	eucal-Men
177.3	1.2	mint-Euc
187	0.3	odorless
188.4	1.1	odorless
197	0.8	yuzu-Cit
199	0.5	yuzu-Cit
207	0.3	lemon-Lim
217.8	1.4	odorless
228.1	1.3	mint-Men
237.9	1	yuzu-Lim
247.4	1.2	eucal-Euc
257	1.1	lemon-Cit
259.2	0.3	lemon-Cit
267	0.9	lemon-Lim
278	1.3	odorless
288.3	1.2	yuzu-Cit
297.9	1.2	eucal-Men
308	1.2	mint-Euc
318.3	1.2	lemon-Cit
327.4	1.2	yuzu-Lim
337.5	1.3	mint-Euc
348	1.3	odorless
358.1	1.2	eucal-Men
368.3	1.2	odorless
377	1.1	eucal-Men
388.3	1	yuzu-Lim
397	0.5	mint-Euc
398.7	0.8	mint-Euc
407	0.5	lemon-Cit
408.8	0.7	lemon-Cit
418.3	1.2	eucal-Euc
427.4	1.2	yuzu-Cit
437	0.9	mint-Men
438.9	0.6	mint-Men
457	1.2	odorless
467.4	1.3	mint-Men
478.2	1.3	eucal-Euc
487.8	1.3	odorless
507.5	1.2	yuzu-Lim
