onset	duration	trial_type
17.4	2.1	lemon-Cit
27.2	2.3	yuzu-Lim
37	2.5	eucal-Euc
47.4	2.1	odorless
57.6	1.9	mint-Men
67.2	2.3	mint-Euc
77.8	1.7	lemon-Cit
87.2	2.3	eucal-Men
97.2	2.3	yuzu-Lim
107.4	1.5	odorless
117.2	2.3	lemon-Lim
127.2	1.7	odorless
137.2	2.3	yuzu-Cit
147.2	2.3	mint-Men
157.2	2.3	eucal-Euc
167	2.5	eucal-Men
177.5	2	mint-Euc
187.1	1.9	odorless
197.1	2.4	yuzu-Cit
207.5	2	lemon-Lim
217.3	2.2	odorless
227.4	2.1	mint-Men
237.4	2.1	yuzu-Lim
247.3	2.2	eucal-Euc
257.1	2.4	lemon-Cit
267.2	2.3	lemon-Lim
277.2	2	odorless
287.2	2.3	yuzu-Cit
297.2	2.3	eucal-Men
307.3	2.2	mint-Euc
317.2	2.3	lemon-Cit
327.2	2.3	yuzu-Lim
337.2	2.3	mint-Euc
347.2	1.6	odorless
357.2	2.3	eucal-Men
367.3	1.6	odorless
377.3	2.2	eucal-Men
387.2	2.3	yuzu-Lim
397.1	2.4	mint-Euc
407.3	2.2	lemon-Cit
417.2	2.3	eucal-Euc
427.3	2.2	yuzu-Cit
437.2	2.3	mint-Men
447.3	2.2	lemon-Lim
457.4	2.1	odorless
467.5	2	mint-Men
477.3	2.2	eucal-Euc
487.4	1.7	odorless
497.3	2.2	lemon-Cit
507.3	2.2	yuzu-Lim
