onset	duration	trial_type
17.8	1.6	lemon-Cit
27.3	1.8	yuzu-Lim
37.9	1.6	eucal-Euc
47.6	1.8	odorless
57.6	1.9	mint-Men
67.4	2.1	mint-Euc
77.8	1.7	lemon-Cit
87.6	1.9	eucal-Men
97.5	2	yuzu-Lim
107.4	1.5	odorless
117.7	1.8	lemon-Lim
129	0.5	odorless
137.5	2	yuzu-Cit
147.8	1.7	mint-Men
158.3	1.2	eucal-Euc
167.6	1.6	eucal-Men
177.2	2.3	mint-Euc
187.5	2	odorless
197.6	1.9	yuzu-Cit
207.7	1.7	lemon-Lim
217	2.5	odorless
227.8	1.2	mint-Men
237	2.5	yuzu-Lim
247.6	1.9	eucal-Euc
257.6	1.9	lemon-Cit
267.4	2.1	lemon-Lim
277.7	1.8	odorless
287.2	2.1	yuzu-Cit
297.7	1.8	eucal-Men
307.6	1.9	mint-Euc
317.4	2.1	lemon-Cit
327.5	2	yuzu-Lim
337	2.2	mint-Euc
347.4	2.1	odorless
357.5	1.8	eucal-Men
367.7	1.5	odorless
377.7	1.7	eucal-Men
387.7	1.8	yuzu-Lim
397.3	2.2	mint-Euc
407	0.6	lemon-Cit
408.3	1.2	lemon-Cit
418	1.4	eucal-Euc
427	2.5	yuzu-Cit
437.8	1.7	mint-Men
447.6	1.9	lemon-Lim
457.7	1.8	odorless
467.2	2.1	mint-Men
477.4	2.1	eucal-Euc
487.2	2	odorless
497.1	2.4	lemon-Cit
507.7	1.8	yuzu-Lim
