onset	duration	trial_type
17.8	1.7	yuzu-Lim
28	1.3	odorless
37	1.3	lemon-Cit
38.5	1	lemon-Cit
47	0.6	mint-Men
49.1	0.4	mint-Men
57	1	eucal-Euc
68.1	1.4	yuzu-Cit
77	1.2	lemon-Lim
87	1.2	eucal-Euc
98.5	1	odorless
107.5	1.4	mint-Men
118.9	0.6	odorless
127	0.3	mint-Men
128	1.5	mint-Men
137.7	1.5	lemon-Lim
147.7	1.8	eucal-Euc
158.7	0.8	yuzu-Cit
167	0.5	mint-Euc
169.2	0.3	mint-Euc
178.7	0.8	yuzu-Cit
187.8	1.5	eucal-Men
197	0.4	lemon-Lim
198.6	0.9	lemon-Lim
207.3	1.5	odorless
217	0.5	eucal-Men
219.1	0.4	eucal-Men
228.1	1.4	mint-Euc
237	1.3	odorless
247	0.9	lemon-Cit
258.4	1.1	yuzu-Lim
267	0.6	odorless
278.4	1.1	eucal-Men
287.3	1.3	lemon-Lim
298.1	1.4	mint-Euc
308.8	0.7	yuzu-Cit
318.2	1.3	yuzu-Lim
327	1	odorless
328.8	0.7	odorless
337.1	1.7	lemon-Cit
347	1.3	eucal-Men
357.8	1.6	mint-Euc
368.2	1.3	mint-Men
377.9	1.5	eucal-Euc
387	0.4	odorless
389	0.5	odorless
407	0.7	lemon-Lim
408.7	0.8	lemon-Lim
417.9	1.2	yuzu-Cit
428.5	1	lemon-Lim
437	1.5	mint-Euc
438.9	0.6	mint-Euc
447	0.9	odorless
457.8	1.4	eucal-Men
477	0.9	lemon-Cit
478.5	1	lemon-Cit
487	0.8	mint-Men
488	1	mint-Men
498	1.5	yuzu-Lim
507	0.4	odorless
508.8	0.7	odorless
