onset	duration	trial_type
17	0.3	mint-Euc
19.2	0.3	mint-Euc
27	0.5	lemon-Cit
28.3	1.2	lemon-Cit
37	0.6	eucal-Men
38.3	0.7	eucal-Men
58.1	1.1	odorless
67	0.9	eucal-Men
87	0.8	odorless
88.4	0.8	odorless
97	0.6	yuzu-Cit
98.2	1.1	yuzu-Cit
108.2	1.3	lemon-Lim
117	2.1	lemon-Cit
127	0.9	yuzu-Lim
128.6	0.9	yuzu-Lim
138.6	0.9	eucal-Euc
147.9	1.3	odorless
157.5	2	mint-Men
168.4	1.1	odorless
177.8	1.7	mint-Men
187	0.5	yuzu-Lim
188.5	0.6	yuzu-Lim
197.8	1.6	eucal-Euc
207.6	1.9	lemon-Cit
217	1	lemon-Lim
218.7	0.8	lemon-Lim
227.4	1.4	odorless
238.3	1.1	yuzu-Cit
247.4	1.8	mint-Men
257	0.7	eucal-Euc
267	1.1	lemon-Cit
269	0.5	lemon-Cit
278.1	1.2	yuzu-Lim
288.3	1.2	mint-Euc
298.4	1.1	odorless
307.7	1.4	eucal-Men
317.9	1.5	eucal-Euc
327	1.4	yuzu-Cit
337.5	1.9	mint-Men
347	1	lemon-Lim
357	1.2	odorless
367	0.4	lemon-Lim
368.8	0.7	lemon-Lim
377	0.5	odorless
378	0.6	odorless
387	0.3	yuzu-Cit
388.2	1.3	yuzu-Cit
398.3	1.2	eucal-Men
407	1	mint-Euc
408.4	1.1	mint-Euc
417	1.1	mint-Men
418.3	1.1	mint-Men
428.6	0.9	eucal-Euc
437.7	1.3	odorless
447.6	1.9	lemon-Cit
457	0.5	yuzu-Lim
458.4	1.1	yuzu-Lim
467.9	1.2	odorless
477.2	1.9	eucal-Men
497	2	mint-Euc
507	1.5	lemon-Cit
509.1	0.4	lemon-Cit
