onset	duration	trial_type
17.4	2.1	lemon-Cit
27.6	1.9	yuzu-Lim
38.4	1.1	eucal-Euc
48	1.5	odorless
57	2.5	mint-Men
67.3	2.2	mint-Euc
77	2.5	lemon-Cit
87	2.3	eucal-Men
98.1	1.4	yuzu-Lim
108.7	0.8	odorless
128.8	0.7	odorless
139	0.5	yuzu-Cit
147.4	2.1	mint-Men
158.3	1.2	eucal-Euc
168.6	0.9	eucal-Men
178.5	1	mint-Euc
198.5	1	yuzu-Cit
208.4	1.1	lemon-Lim
217	2.5	odorless
227.8	1.7	mint-Men
237.8	1.7	yuzu-Lim
247.5	2	eucal-Euc
258.1	1.4	lemon-Cit
267	2.3	lemon-Lim
277.4	2.1	odorless
298.3	1.2	eucal-Men
307.9	1.6	mint-Euc
317.9	1.6	lemon-Cit
327.8	1.7	yuzu-Lim
339.2	0.3	mint-Euc
348	1.5	odorless
357.9	1.6	eucal-Men
367	0.8	odorless
368.9	0.6	odorless
377.8	1.7	eucal-Men
398.1	1.4	mint-Euc
407.6	1.9	lemon-Cit
417.2	2.3	eucal-Euc
428	1.5	yuzu-Cit
437.9	1.6	mint-Men
447.7	1.8	lemon-Lim
457.8	1.7	odorless
468.2	1.3	mint-Men
477.4	2.1	eucal-Euc
487.2	2.3	odorless
498.1	1.4	lemon-Cit
507.9	1.6	yuzu-Lim
