onset	duration	trial_type
18.2	1.3	mint-Euc
27	0.5	lemon-Cit
28.2	1.3	lemon-Cit
37	0.5	eucal-Men
38	1.5	eucal-Men
47	2.5	yuzu-Lim
57.3	1.9	odorless
67	2.3	eucal-Men
77	1.9	mint-Euc
87	1.5	odorless
97	2.5	yuzu-Cit
107	2.5	lemon-Lim
117.8	1.7	lemon-Cit
127	0.9	yuzu-Lim
128.4	1.1	yuzu-Lim
137.9	1.6	eucal-Euc
147.6	1.7	odorless
158.3	1.2	mint-Men
167	1.6	odorless
178	1.5	mint-Men
187	2.4	yuzu-Lim
197	0.9	eucal-Euc
198.6	0.9	eucal-Euc
207	2.2	lemon-Cit
218	1.5	lemon-Lim
229	0.5	odorless
237	2.5	yuzu-Cit
249.1	0.4	mint-Men
257.7	1.6	eucal-Euc
267	2.4	lemon-Cit
277	2.5	yuzu-Lim
287	0.3	mint-Euc
288	1.5	mint-Euc
297	1.7	odorless
308.2	1.3	eucal-Men
317.2	1.9	eucal-Euc
327	2.2	yuzu-Cit
348.1	1.4	lemon-Lim
357	2.5	odorless
367	2.5	lemon-Lim
377	1.6	odorless
397.6	1.9	eucal-Men
408.1	1.4	mint-Euc
418	1.5	mint-Men
427	2.5	eucal-Euc
437	0.5	odorless
438.7	0.8	odorless
447	2.5	lemon-Cit
457.3	1.8	yuzu-Lim
467.8	1.4	odorless
477.7	1.8	eucal-Men
487.6	1.9	yuzu-Lim
497	1.5	mint-Euc
499.2	0.3	mint-Euc
507	1	lemon-Cit
508.5	1	lemon-Cit
