onset	duration	trial_type
18	1.1	lemon-Cit
27	2	yuzu-Lim
37.7	1.8	eucal-Euc
47	1.7	odorless
57	1.4	mint-Men
59.1	0.4	mint-Men
67	1.1	mint-Euc
68.3	1.2	mint-Euc
77.7	1.6	lemon-Cit
87	2.2	eucal-Men
97	2.5	yuzu-Lim
107.4	1.9	odorless
117.6	1.9	lemon-Lim
129.2	0.3	odorless
137	2	yuzu-Cit
147	2.2	mint-Men
157	0.8	eucal-Euc
158.3	1.2	eucal-Euc
167	0.3	eucal-Men
177	1.7	mint-Euc
178.9	0.6	mint-Euc
187	1	odorless
197.3	2.2	yuzu-Cit
208.3	1.2	lemon-Lim
217	0.7	odorless
228.1	1.4	mint-Men
238.5	1	yuzu-Lim
247	2.2	eucal-Euc
257	2.5	lemon-Cit
267	2.5	lemon-Lim
278.8	0.7	odorless
287	2.5	yuzu-Cit
297	0.5	eucal-Men
298	1.5	eucal-Men
308.4	1.1	mint-Euc
327.6	1.9	yuzu-Lim
337.5	2	mint-Euc
347.3	1.8	odorless
357	2.3	eucal-Men
367	1.1	odorless
378.3	1.2	eucal-Men
387	0.3	yuzu-Lim
398.9	0.6	mint-Euc
407	1	lemon-Cit
408.3	1.2	lemon-Cit
417	0.8	eucal-Euc
428	1.5	yuzu-Cit
437.7	1.8	mint-Men
447.9	1.6	lemon-Lim
457.8	1.5	odorless
467.5	2	mint-Men
487	0.7	odorless
488.4	1.1	odorless
497.5	1.8	lemon-Cit
508.1	1.4	yuzu-Lim
