onset	duration	trial_type
17	1.5	yuzu-Lim
27	1.8	odorless
37	2.1	lemon-Cit
47	2.2	mint-Men
57.2	1.7	eucal-Euc
67.4	2	yuzu-Cit
77	2.2	lemon-Lim
97.1	1.5	odorless
107.2	1.8	mint-Men
117	1.7	odorless
127	1.9	mint-Men
137.1	2.1	lemon-Lim
147	2	eucal-Euc
157.3	1.7	yuzu-Cit
167.5	1.6	mint-Euc
177	2.1	yuzu-Cit
187	2.1	eucal-Men
197.1	2.3	lemon-Lim
207.1	2	odorless
217.4	2	eucal-Men
227.1	2.4	mint-Euc
237	1.9	odorless
247	2	lemon-Cit
257	2	yuzu-Lim
267.1	1.8	odorless
277.4	1.7	eucal-Men
287.1	2.1	lemon-Lim
297	2.4	mint-Euc
307.6	1.9	yuzu-Cit
317.3	2.2	yuzu-Lim
327.4	1.5	odorless
337.1	1.9	lemon-Cit
347.1	2.1	eucal-Men
357.1	2.4	mint-Euc
368.2	1.3	mint-Men
377	2.1	eucal-Euc
387	1.8	odorless
397.1	2.1	yuzu-Cit
407.1	2.2	lemon-Lim
417.8	0.9	yuzu-Cit
427	2.1	lemon-Lim
437.4	1.9	mint-Euc
447.3	2.2	odorless
457.6	1.3	eucal-Men
467	2.1	eucal-Euc
477	2	lemon-Cit
487	2.3	mint-Men
497	1.9	yuzu-Lim
507	1.8	odorless
