onset	duration	trial_type
17	2.2	lemon-Cit
27.1	2.2	yuzu-Lim
37.1	2.2	eucal-Euc
47	2.3	odorless
57	2.5	mint-Men
67.2	2.3	mint-Euc
77.1	2	lemon-Cit
87.2	2.3	eucal-Men
97.3	2.2	yuzu-Lim
107.2	1.9	odorless
117.1	1.9	lemon-Lim
127	2.1	odorless
137.3	2.2	yuzu-Cit
147.1	1.9	mint-Men
157	2.4	eucal-Euc
167.2	2.3	eucal-Men
177	2.4	mint-Euc
187.4	1.7	odorless
197.3	2	yuzu-Cit
207	2.1	lemon-Lim
217	2.3	odorless
227.3	2.2	mint-Men
237.3	1.8	yuzu-Lim
247.1	2.2	eucal-Euc
257	2.1	lemon-Cit
267.1	2.2	lemon-Lim
277.1	1.9	odorless
287.1	2.1	yuzu-Cit
297.4	2.1	eucal-Men
307.4	2.1	mint-Euc
317	2.2	lemon-Cit
327.2	2	yuzu-Lim
337	2.5	mint-Euc
347.3	1.6	odorless
357.2	2.3	eucal-Men
367.4	1.8	odorless
377	2.5	eucal-Men
387.3	2.2	yuzu-Lim
397	2.5	mint-Euc
407.3	2.2	lemon-Cit
417.1	2.1	eucal-Euc
427	2.3	yuzu-Cit
437.2	2.3	mint-Men
447	2	lemon-Lim
457.2	1.9	odorless
467.1	2.4	mint-Men
477.4	2.1	eucal-Euc
487.4	1.8	odorless
497.3	2	lemon-Cit
507	1.9	yuzu-Lim
