onset	duration	trial_type
17	2.1	odorless
27	2.2	mint-Men
37.5	2	lemon-Lim
47.6	1.9	eucal-Euc
57	2.2	yuzu-Cit
67	1.8	yuzu-Lim
77	1.8	odorless
87	2.1	lemon-Cit
97	2.2	mint-Men
107.4	2.1	eucal-Euc
117.4	2	eucal-Men
127.1	2	mint-Euc
137.3	1.9	odorless
147	2.1	lemon-Cit
157	2.2	yuzu-Lim
167.2	2.3	yuzu-Cit
177.3	2.2	lemon-Lim
187.6	1.8	eucal-Euc
197.2	1.9	odorless
207	2.2	mint-Men
217.1	2.2	mint-Euc
227.4	1.9	yuzu-Cit
237	2.4	eucal-Men
247.6	1.9	lemon-Lim
257	2.1	odorless
267	2.3	mint-Men
277.2	2.2	eucal-Euc
287.3	2	odorless
297.1	2.4	yuzu-Cit
307	2.5	lemon-Lim
317.5	2	odorless
327	2.5	eucal-Men
337.2	2.2	lemon-Lim
347	2.5	mint-Euc
357	2.5	yuzu-Cit
367	2.5	eucal-Euc
377.1	2.4	lemon-Cit
387.6	1.9	mint-Men
397.1	2.3	yuzu-Lim
407	2.3	odorless
417.2	2.1	yuzu-Lim
427.3	2.2	odorless
437.4	2.1	lemon-Cit
447.6	1.9	eucal-Men
457	2.5	mint-Euc
467	1.7	yuzu-Cit
477.1	2.2	lemon-Lim
487.1	2.3	mint-Euc
497.2	1.9	odorless
507	2.4	eucal-Men
