onset	duration	trial_type
18.3	1.2	lemon-Cit
27	1.2	yuzu-Lim
28.5	1	yuzu-Lim
37	0.7	eucal-Euc
38.5	0.9	eucal-Euc
47	1.4	odorless
48.9	0.6	odorless
57.8	1.5	mint-Men
67	2.5	mint-Euc
77.2	1.6	lemon-Cit
87	2.5	eucal-Men
97.3	2	yuzu-Lim
107	1.4	odorless
117	2.5	lemon-Lim
127.2	1.5	odorless
137	0.7	yuzu-Cit
147	0.5	mint-Men
157.7	1.6	eucal-Euc
167	0.6	eucal-Men
168.7	0.5	eucal-Men
178.5	1	mint-Euc
188.1	1.2	odorless
197.7	1.2	yuzu-Cit
207.7	0.9	lemon-Lim
218	1.4	odorless
228.3	1.1	mint-Men
237	1.8	yuzu-Lim
247.7	1.7	eucal-Euc
258.4	0.7	lemon-Cit
268.5	1	lemon-Lim
277.2	1.2	odorless
287	1.5	yuzu-Cit
297	0.5	eucal-Men
298.6	0.6	eucal-Men
307	1.2	mint-Euc
317.4	1.3	lemon-Cit
327.2	1.4	yuzu-Lim
337	1	mint-Euc
339.1	0.4	mint-Euc
347	0.7	odorless
368.2	1.3	odorless
387	0.8	yuzu-Lim
388.5	1	yuzu-Lim
397.2	1.6	mint-Euc
407	2.5	lemon-Cit
417	1.7	eucal-Euc
427	2.4	yuzu-Cit
437	2	mint-Men
447	1.4	lemon-Lim
457.7	1.2	odorless
467	1	mint-Men
468.7	0.8	mint-Men
477	0.5	eucal-Euc
478.4	1	eucal-Euc
487.1	1.6	odorless
497	0.7	lemon-Cit
498.5	1	lemon-Cit
507.7	1.6	yuzu-Lim
