onset	duration	trial_type
17.8	1.7	odorless
27.6	1.5	mint-Men
37.8	1.3	lemon-Lim
47.1	2.4	eucal-Euc
57.2	1.9	yuzu-Cit
67	2.1	yuzu-Lim
77.1	2.2	odorless
87.4	1.7	lemon-Cit
97.5	1.6	mint-Men
107.4	1.8	eucal-Euc
117.3	2.2	eucal-Men
127	2	mint-Euc
137.6	1.3	odorless
147.5	1.7	lemon-Cit
157.5	2	yuzu-Lim
167.1	1.7	yuzu-Cit
177.7	1.6	lemon-Lim
187	2.1	eucal-Euc
197.4	1.9	odorless
207.5	2	mint-Men
217.1	2.1	mint-Euc
227	1.4	yuzu-Cit
237.9	1.6	eucal-Men
247	2.3	lemon-Lim
257	2	odorless
267.6	1.7	mint-Men
277.2	2.1	eucal-Euc
287	1.7	odorless
297.2	1.3	yuzu-Cit
307	1.8	lemon-Lim
317	1.9	odorless
327.5	1.4	eucal-Men
337.3	2.1	lemon-Lim
347	2	mint-Euc
357.2	1.5	yuzu-Cit
367	1.9	eucal-Euc
377.6	1.3	lemon-Cit
387.7	1.8	mint-Men
397.2	2	yuzu-Lim
407.4	1.8	odorless
417.6	1.7	yuzu-Lim
427	1.8	odorless
437.7	1.8	lemon-Cit
447.3	2.2	eucal-Men
457.1	2.1	mint-Euc
467.3	1.8	yuzu-Cit
477	2.5	lemon-Lim
487.2	2.3	mint-Euc
497.2	1.9	odorless
507.2	2.1	eucal-Men
