onset	duration	trial_type
17.5	2	yuzu-Lim
27.6	1.9	odorless
37	2.1	lemon-Cit
47.6	1.3	mint-Men
57.5	1.8	eucal-Euc
67	1.9	yuzu-Cit
77	0.6	lemon-Lim
78.1	1.4	lemon-Lim
87.9	1.6	eucal-Euc
97.8	1.6	odorless
107.5	2	mint-Men
117	1.7	odorless
127.9	1.6	mint-Men
137	2.5	lemon-Lim
147	1.1	eucal-Euc
148.7	0.8	eucal-Euc
157.8	1.5	yuzu-Cit
167	2.5	mint-Euc
177.8	1.7	yuzu-Cit
188.5	1	eucal-Men
197.8	1.7	lemon-Lim
207	1.9	odorless
217	0.5	eucal-Men
217.9	1.3	eucal-Men
227	2.5	mint-Euc
237.7	1.8	odorless
247.8	1.7	lemon-Cit
257	0.9	yuzu-Lim
258.4	1.1	yuzu-Lim
267.9	1.6	odorless
277	2.5	eucal-Men
287	2.5	lemon-Lim
297.1	2.2	mint-Euc
307.9	1.6	yuzu-Cit
318.3	1.2	yuzu-Lim
328.3	1.2	odorless
337.8	1.7	lemon-Cit
347.9	1.6	eucal-Men
357.8	1.7	mint-Euc
367.5	2	mint-Men
377	1.1	eucal-Euc
378.5	1	eucal-Euc
387.4	2.1	odorless
398	1.5	yuzu-Cit
408	1.5	lemon-Lim
418.3	1.2	yuzu-Cit
427.8	1.7	lemon-Lim
437.9	1.6	mint-Euc
447.8	1.2	odorless
458.1	1.4	eucal-Men
467	2.5	eucal-Euc
477.2	2.2	lemon-Cit
498	1.5	yuzu-Lim
507	2.1	odorless
