onset	duration	trial_type
17	0.3	mint-Euc
17.5	1.3	mint-Euc
27	1.8	lemon-Cit
37.4	1.4	eucal-Men
47	1.8	yuzu-Lim
57	2.2	odorless
67	1.5	eucal-Men
77.2	1.7	mint-Euc
87	1.5	odorless
97.2	2.3	yuzu-Cit
107.1	1.5	lemon-Lim
117.9	1.4	lemon-Cit
127.3	1.3	yuzu-Lim
147.2	1.4	odorless
157.6	1.9	mint-Men
167.3	1.2	odorless
169	0.5	odorless
177.2	2.3	mint-Men
187	2	yuzu-Lim
207.3	1.5	lemon-Cit
217.5	1.6	lemon-Lim
227.1	1.7	odorless
237.6	1.2	yuzu-Cit
257	1.6	eucal-Euc
267	0.4	lemon-Cit
267.6	1.3	lemon-Cit
277.1	2.3	yuzu-Lim
297.1	1.6	odorless
307	2.1	eucal-Men
317	1.5	eucal-Euc
319.2	0.3	eucal-Euc
327	2.2	yuzu-Cit
337	1.8	mint-Men
347.4	1.2	lemon-Lim
358.3	1.2	odorless
367.4	1.7	lemon-Lim
377.5	1.6	odorless
397	1.8	eucal-Men
408	1.5	mint-Euc
417	2.3	mint-Men
427.4	1.2	eucal-Euc
437.2	1.7	odorless
447	1.7	lemon-Cit
457.5	2	yuzu-Lim
467	1.8	odorless
477.5	1.3	eucal-Men
487.4	1.5	yuzu-Lim
497.6	1.2	mint-Euc
507.2	2.1	lemon-Cit
