onset	duration	trial_type
17.6	1.2	lemon-Cit
27	0.5	yuzu-Lim
29.1	0.4	yuzu-Lim
47.4	1.4	odorless
57.4	1.3	mint-Men
67.6	1.2	mint-Euc
77	0.4	lemon-Cit
79	0.5	lemon-Cit
88.5	1	eucal-Men
97	1	yuzu-Lim
107.7	1.7	odorless
127.3	1.5	odorless
137	1.3	yuzu-Cit
147	1.4	mint-Men
157	0.3	eucal-Euc
159	0.5	eucal-Euc
167.6	1.1	eucal-Men
177	0.8	mint-Euc
188.5	1	odorless
197.7	1.1	yuzu-Cit
207	1	lemon-Lim
217.4	1.6	odorless
227.6	1.1	mint-Men
257.1	1.2	lemon-Cit
268.1	1	lemon-Lim
277	1.3	odorless
287.1	1.2	yuzu-Cit
299	0.5	eucal-Men
308.7	0.8	mint-Euc
317	1.2	lemon-Cit
327.3	1.3	yuzu-Lim
338.9	0.6	mint-Euc
347.8	1.6	odorless
357	0.7	eucal-Men
367	1.4	odorless
377	0.8	eucal-Men
378.8	0.7	eucal-Men
387	1.1	yuzu-Lim
398.1	1	mint-Euc
407	1.3	lemon-Cit
417.1	1.3	eucal-Euc
428.5	1	yuzu-Cit
437	1.4	mint-Men
447	1.2	lemon-Lim
457	0.4	odorless
467	0.9	mint-Men
469.1	0.4	mint-Men
477	1.4	eucal-Euc
487.6	1.5	odorless
497	1.1	lemon-Cit
