onset	duration	trial_type
17.3	1.8	odorless
27	1.4	mint-Men
47.1	2.4	eucal-Euc
57.3	1.2	yuzu-Cit
68.3	1.1	yuzu-Lim
77	0.5	odorless
79.1	0.4	odorless
87	1.2	lemon-Cit
98.8	0.7	mint-Men
108.6	0.9	eucal-Euc
118.2	1.3	eucal-Men
127	0.3	mint-Euc
128.9	0.6	mint-Euc
137	1.5	odorless
147	0.9	lemon-Cit
157.7	1.1	yuzu-Lim
167.2	1.2	yuzu-Cit
178.2	1	lemon-Lim
187	0.6	eucal-Euc
189.1	0.4	eucal-Euc
197	2.5	odorless
207	0.4	mint-Men
209.1	0.4	mint-Men
217	0.8	mint-Euc
228.5	1	yuzu-Cit
237	1.1	eucal-Men
247.4	1	lemon-Lim
257	1.4	odorless
267	0.7	mint-Men
269.1	0.4	mint-Men
277	0.4	eucal-Euc
278.9	0.6	eucal-Euc
287	1.5	odorless
297	0.6	yuzu-Cit
299	0.5	yuzu-Cit
307	1.1	lemon-Lim
309	0.5	lemon-Lim
317	1.4	odorless
327	1.5	eucal-Men
328.8	0.7	eucal-Men
337.8	0.8	lemon-Lim
348	1.5	mint-Euc
358.1	1.4	yuzu-Cit
367.7	1	eucal-Euc
377.3	1.3	lemon-Cit
387	1	mint-Men
397	1.3	yuzu-Lim
407	1.4	odorless
417	1.2	yuzu-Lim
427	1.5	odorless
437	0.3	lemon-Cit
439.1	0.4	lemon-Cit
447.5	1.2	eucal-Men
458	1.3	mint-Euc
467	1.4	yuzu-Cit
469	0.5	yuzu-Cit
478.1	0.6	lemon-Lim
487	1.1	mint-Euc
498.6	0.6	odorless
507.2	1.3	eucal-Men
