onset	duration	trial_type
17.8	1.7	odorless
27.6	1.9	mint-Men
37.7	1.8	lemon-Lim
47.5	2	eucal-Euc
57.3	2.2	yuzu-Cit
67.3	2.2	yuzu-Lim
77.4	2.1	odorless
87.1	2.3	lemon-Cit
97.2	2.2	mint-Men
107	1.7	eucal-Euc
117	2.3	eucal-Men
127.6	1.7	mint-Euc
137	1.9	odorless
147	2.3	lemon-Cit
157	2.1	yuzu-Lim
167	1.9	yuzu-Cit
177.9	1.6	lemon-Lim
187.3	1.8	eucal-Euc
197	0.8	odorless
207.6	1.9	mint-Men
217	2.1	mint-Euc
227.3	2.2	yuzu-Cit
237.7	1.8	eucal-Men
247	2.5	lemon-Lim
257	2	odorless
267	2.3	mint-Men
277.8	1.6	eucal-Euc
287.2	1.8	odorless
297	2.4	yuzu-Cit
307.1	2.4	lemon-Lim
317	1.9	odorless
327.8	1.7	eucal-Men
337	2.5	lemon-Lim
347.4	2.1	mint-Euc
358.1	1.4	yuzu-Cit
367	2.4	eucal-Euc
377	1.9	lemon-Cit
387.4	2.1	mint-Men
397.6	1.9	yuzu-Lim
407.8	1.7	odorless
417.1	2.4	yuzu-Lim
427.4	2.1	odorless
437	2.5	lemon-Cit
447.7	1.8	eucal-Men
457	2.5	mint-Euc
467.9	1.6	yuzu-Cit
478.6	0.9	lemon-Lim
487.8	1.7	mint-Euc
497.3	2.1	odorless
507.1	2.4	eucal-Men
