onset	duration	trial_type
17.9	1.6	yuzu-Lim
27.8	1.7	odorless
37	2.5	lemon-Cit
48	1.5	mint-Men
58.1	1.4	eucal-Euc
68.1	1.4	yuzu-Cit
77.7	1.8	lemon-Lim
87.2	2.3	eucal-Euc
97.4	2.1	odorless
107	2.5	mint-Men
117.4	2.1	odorless
127.4	2.1	mint-Men
137.6	1.9	lemon-Lim
147.5	2	eucal-Euc
158	1.5	yuzu-Cit
168.1	1.4	mint-Euc
177.4	2.1	yuzu-Cit
187	2.1	eucal-Men
197	2.5	lemon-Lim
207.6	1.9	odorless
217.3	2.2	eucal-Men
227.3	2.2	mint-Euc
237	1.8	odorless
247.3	2.2	lemon-Cit
257.1	2.1	yuzu-Lim
267	1.4	odorless
277	2	eucal-Men
287.6	1.9	lemon-Lim
297.2	2.2	mint-Euc
307.9	1.6	yuzu-Cit
317.2	2.1	yuzu-Lim
327	1.8	odorless
337.7	1.8	lemon-Cit
347.6	1.9	eucal-Men
357.2	2.3	mint-Euc
367.2	2.3	mint-Men
377.3	2.1	eucal-Euc
387.2	1.8	odorless
397.1	2.4	yuzu-Cit
407	2	lemon-Lim
417.6	1.9	yuzu-Cit
427.6	1.9	lemon-Lim
437.1	2.4	mint-Euc
447	2.1	odorless
457.2	2.3	eucal-Men
467.4	2.1	eucal-Euc
477	2.5	lemon-Cit
487.2	2.3	mint-Men
497.6	1.9	yuzu-Lim
507.1	2	odorless
