onset	duration	trial_type
17	0.4	lemon-Cit
18.4	1.1	lemon-Cit
27.1	1.5	yuzu-Lim
37	0.7	eucal-Euc
38.6	0.9	eucal-Euc
48.2	1.2	odorless
57.8	1	mint-Men
67.7	1.4	mint-Euc
77.4	1.3	lemon-Cit
87	0.6	eucal-Men
88.5	1	eucal-Men
98	1.3	yuzu-Lim
107	0.3	odorless
108.1	1.2	odorless
117.5	1.3	lemon-Lim
127.4	1.2	odorless
137	0.7	yuzu-Cit
138.3	1.2	yuzu-Cit
147.3	1.3	mint-Men
157	1.2	eucal-Euc
167	0.3	eucal-Men
168	1.1	eucal-Men
177	1.4	mint-Euc
187.3	1.5	odorless
197.5	1.6	yuzu-Cit
207	1.4	lemon-Lim
217	1.5	odorless
227.1	1.6	mint-Men
237.7	1.2	yuzu-Lim
247	0.5	eucal-Euc
248.3	1.2	eucal-Euc
257	1.5	lemon-Cit
267	1.2	lemon-Lim
277.5	1.1	odorless
287	0.3	yuzu-Cit
288.3	1.2	yuzu-Cit
297	1.6	eucal-Men
307.4	1.8	mint-Euc
317.2	1.6	lemon-Cit
327	1.6	yuzu-Lim
337.9	1.1	mint-Euc
357.3	1.6	eucal-Men
367	0.4	odorless
368.2	1.1	odorless
378	1.5	eucal-Men
387.1	1.7	yuzu-Lim
397.7	1.4	mint-Euc
408	1.5	lemon-Cit
417	0.4	eucal-Euc
418	1.3	eucal-Euc
427	0.5	yuzu-Cit
428.4	1.1	yuzu-Cit
437.8	1.4	mint-Men
447.9	0.8	lemon-Lim
457	0.4	odorless
459.1	0.4	odorless
467	1.3	mint-Men
477	1.4	eucal-Euc
487	1.4	odorless
497	0.5	lemon-Cit
498.5	1	lemon-Cit
507.1	1.7	yuzu-Lim
