onset	duration	trial_type
17	2.1	mint-Euc
27	2.2	lemon-Cit
37.1	2.2	eucal-Men
47.5	2	yuzu-Lim
57.1	1.9	odorless
67	2.1	eucal-Men
77.4	2.1	mint-Euc
87.1	1.9	odorless
97.4	2.1	yuzu-Cit
107	2	lemon-Lim
117.2	2	lemon-Cit
127.4	2.1	yuzu-Lim
137	2.5	eucal-Euc
147	2.2	odorless
157.6	1.9	mint-Men
167.3	1.8	odorless
177.2	2.2	mint-Men
187	2.5	yuzu-Lim
197	2.5	eucal-Euc
207	2.4	lemon-Cit
217.2	2.3	lemon-Lim
227.2	2.2	odorless
237	2.4	yuzu-Cit
247.1	2.3	mint-Men
257.2	2.3	eucal-Euc
267	2	lemon-Cit
277.2	2.2	yuzu-Lim
287.2	2.1	mint-Euc
297	1.9	odorless
307.5	2	eucal-Men
317.2	2.3	eucal-Euc
327.5	2	yuzu-Cit
337.3	2.2	mint-Men
347.7	1.8	lemon-Lim
357.3	2.1	odorless
367.3	1.8	lemon-Lim
377.4	1.9	odorless
387.3	2.1	yuzu-Cit
397.1	2.4	eucal-Men
407.2	2.2	mint-Euc
417.2	2.3	mint-Men
427.2	2.2	eucal-Euc
437.2	2.2	odorless
447.1	2.3	lemon-Cit
457.3	2.1	yuzu-Lim
467.6	1.7	odorless
477.3	2.2	eucal-Men
487.4	2	yuzu-Lim
497	2.5	mint-Euc
507.6	1.7	lemon-Cit
