onset	duration	trial_type
17	0.8	odorless
18.2	1.3	odorless
27.7	1.7	mint-Men
48.3	1.2	eucal-Euc
57	0.6	yuzu-Cit
58.2	1.3	yuzu-Cit
67	0.3	yuzu-Lim
67.9	1.6	yuzu-Lim
77	0.6	odorless
87	2.5	lemon-Cit
97	1.9	mint-Men
107	2.5	eucal-Euc
117.1	2.1	eucal-Men
127.6	1.9	mint-Euc
137	0.9	odorless
138.7	0.8	odorless
147	2.5	lemon-Cit
157.7	1.7	yuzu-Lim
167.8	1.7	yuzu-Cit
177	2.4	lemon-Lim
187.2	2.2	eucal-Euc
197.7	1.8	odorless
207	2.3	mint-Men
217	0.8	mint-Euc
218	1.5	mint-Euc
227	0.9	yuzu-Cit
228.1	1.4	yuzu-Cit
237.4	2.1	eucal-Men
247	1.6	lemon-Lim
249	0.5	lemon-Lim
257	1.5	odorless
267.6	1.9	mint-Men
278.1	1.4	eucal-Euc
287	0.8	odorless
288.5	1	odorless
297	0.7	yuzu-Cit
298.3	1.2	yuzu-Cit
308.1	1.4	lemon-Lim
317	1	odorless
327	2.1	eucal-Men
337	2.5	lemon-Lim
347.2	2.2	mint-Euc
357	2.5	yuzu-Cit
367.4	2.1	eucal-Euc
387	2.5	mint-Men
397	0.6	yuzu-Lim
398.1	1.4	yuzu-Lim
407	2.3	odorless
417.5	1.9	yuzu-Lim
428.6	0.9	odorless
447	0.4	eucal-Men
447.6	1.9	eucal-Men
457.4	2.1	mint-Euc
467.4	2.1	yuzu-Cit
477.5	2	lemon-Lim
487.1	2.3	mint-Euc
497	0.8	odorless
498.3	1.2	odorless
507	2.5	eucal-Men
