onset	duration	trial_type
18.3	1.2	yuzu-Lim
27.3	2.2	odorless
37.2	2.3	lemon-Cit
47.8	1.7	mint-Men
57.3	2.2	eucal-Euc
67	0.3	yuzu-Cit
68.7	0.8	yuzu-Cit
78	1.5	lemon-Lim
87.9	1.6	eucal-Euc
97.9	1.6	odorless
107	2.1	mint-Men
117.5	2	odorless
127.9	1.6	mint-Men
137.9	1.6	lemon-Lim
157.9	1.6	yuzu-Cit
167.4	2.1	mint-Euc
177.1	2.4	yuzu-Cit
188.1	1.4	eucal-Men
197.5	2	lemon-Lim
208.3	1.2	odorless
217	2.5	eucal-Men
227.3	2.2	mint-Euc
237.3	2.1	odorless
247.5	2	lemon-Cit
257.7	1.8	yuzu-Lim
268.6	0.9	odorless
277.8	1.7	eucal-Men
287	2.5	lemon-Lim
297	2.5	mint-Euc
307.6	1.9	yuzu-Cit
317.1	1.3	yuzu-Lim
327.2	2.2	odorless
337	2.3	lemon-Cit
348.4	1.1	eucal-Men
357	0.5	mint-Euc
357.9	1.6	mint-Euc
367.2	2.3	mint-Men
387.7	1.8	odorless
407.8	1.7	lemon-Lim
417	2.5	yuzu-Cit
437	2.5	mint-Euc
448	1.5	odorless
467.6	1.9	eucal-Euc
477.5	2	lemon-Cit
487.7	1.8	mint-Men
497.6	1.9	yuzu-Lim
