onset	duration	trial_type
17	0.3	mint-Euc
19	0.5	mint-Euc
28.4	1.1	lemon-Cit
37	2.5	eucal-Men
47.7	1.8	yuzu-Lim
57.7	1.8	odorless
67.2	2.3	eucal-Men
77	2.5	mint-Euc
87.4	2.1	odorless
97	2.5	yuzu-Cit
107.7	1.8	lemon-Lim
118.8	0.7	lemon-Cit
128.4	1.1	yuzu-Lim
137.6	1.9	eucal-Euc
148.5	1	odorless
158	1.4	mint-Men
178.2	1.3	mint-Men
187	0.7	yuzu-Lim
188.6	0.9	yuzu-Lim
208.1	1.4	lemon-Cit
217.1	2.4	lemon-Lim
227	1.1	odorless
237	2.5	yuzu-Cit
248.2	1.3	mint-Men
267	0.4	lemon-Cit
268.8	0.7	lemon-Cit
277	0.7	yuzu-Lim
278.5	1	yuzu-Lim
287.9	1.6	mint-Euc
297	1.6	odorless
307	0.7	eucal-Men
308.6	0.9	eucal-Men
317	1.5	eucal-Euc
318.9	0.6	eucal-Euc
328	1.5	yuzu-Cit
338	1.5	mint-Men
347.5	2	lemon-Lim
358.6	0.9	odorless
367.3	2.2	lemon-Lim
377.9	1.6	odorless
387.6	1.9	yuzu-Cit
417.5	2	mint-Men
427.6	1.9	eucal-Euc
447.9	1.6	lemon-Cit
457.5	2	yuzu-Lim
467.5	2	odorless
477.7	1.8	eucal-Men
487	2.5	yuzu-Lim
497	0.8	mint-Euc
499	0.5	mint-Euc
507.5	2	lemon-Cit
