onset	duration	trial_type
17.5	2	yuzu-Lim
27.4	2.1	odorless
37.3	2.2	lemon-Cit
47.2	2.3	mint-Men
57.4	2.1	eucal-Euc
67.3	2.2	yuzu-Cit
77.8	1.7	lemon-Lim
87.3	2.2	eucal-Euc
97.3	2.2	odorless
107.1	2.4	mint-Men
117.4	2.1	odorless
127	2.5	mint-Men
137.2	2.3	lemon-Lim
147.4	2.1	eucal-Euc
157.4	2.1	yuzu-Cit
167.4	2.1	mint-Euc
177.8	1.7	yuzu-Cit
187	0.3	eucal-Men
188	1.5	eucal-Men
197.3	2.2	lemon-Lim
207.8	1.7	odorless
217	2.5	eucal-Men
227.4	2.1	mint-Euc
237.7	1.8	odorless
247.2	2.3	lemon-Cit
257.8	1.7	yuzu-Lim
267.4	2.1	odorless
277.4	2.1	eucal-Men
287.5	2	lemon-Lim
297.5	2	mint-Euc
307.3	2.2	yuzu-Cit
317.7	1.8	yuzu-Lim
327.3	2.2	odorless
337.2	2.3	lemon-Cit
347.7	1.8	eucal-Men
357.2	2.3	mint-Euc
367.6	1.9	mint-Men
377.4	2.1	eucal-Euc
388	1.5	odorless
397.6	1.9	yuzu-Cit
407.5	2	lemon-Lim
417.1	2.4	yuzu-Cit
427.3	2.2	lemon-Lim
437.7	1.8	mint-Euc
447.5	2	odorless
457.1	2.4	eucal-Men
467	2.5	eucal-Euc
477	2.5	lemon-Cit
487.2	2.3	mint-Men
497.3	2.2	yuzu-Lim
507.3	2.2	odorless
