onset	duration	trial_type
17	1.8	lemon-Cit
27	1.4	yuzu-Lim
37.8	1.4	eucal-Euc
47.5	1	odorless
58.1	1.4	mint-Men
77.4	1.7	lemon-Cit
87	0.6	eucal-Men
88.3	1.2	eucal-Men
97	0.4	yuzu-Lim
98.2	1.3	yuzu-Lim
107.5	1.6	odorless
117.7	1.7	lemon-Lim
127	1.4	odorless
137.9	1.5	yuzu-Cit
147	0.6	mint-Men
148.4	1.1	mint-Men
157	0.6	eucal-Euc
158.1	1.3	eucal-Euc
167	0.4	eucal-Men
168.4	1	eucal-Men
177	0.9	mint-Euc
179	0.5	mint-Euc
187	1	odorless
197	0.7	yuzu-Cit
198.4	1.1	yuzu-Cit
208.3	1.2	lemon-Lim
217.6	1.6	odorless
227	0.8	mint-Men
228.9	0.6	mint-Men
237.5	1.8	yuzu-Lim
247.4	1.6	eucal-Euc
257.3	1.8	lemon-Cit
268.1	1.2	lemon-Lim
277.5	1.6	odorless
287.9	1.5	yuzu-Cit
297	1.9	eucal-Men
307	1.8	mint-Euc
317.1	1.6	lemon-Cit
327.6	1.7	yuzu-Lim
337.7	1.7	mint-Euc
347.7	1.7	odorless
357	1.1	eucal-Men
359.2	0.3	eucal-Men
367.4	1.7	odorless
377	0.3	eucal-Men
378.2	1.3	eucal-Men
387.1	1.4	yuzu-Lim
397	1.1	mint-Euc
398.8	0.7	mint-Euc
407.5	1.6	lemon-Cit
417	1.8	eucal-Euc
427.6	1.5	yuzu-Cit
437.7	1.5	mint-Men
447.6	1.6	lemon-Lim
457.8	1.6	odorless
468	1.5	mint-Men
477	1.2	eucal-Euc
478.9	0.6	eucal-Euc
487.6	1.9	odorless
497	1.4	lemon-Cit
507	1.5	yuzu-Lim
