onset	duration	trial_type
17	1.1	odorless
19.2	0.3	odorless
27	2.5	mint-Men
37	0.8	lemon-Lim
38.3	1.2	lemon-Lim
47.5	1.5	eucal-Euc
57	2.1	yuzu-Cit
67	2.5	yuzu-Lim
77.6	1.6	odorless
87	0.8	lemon-Cit
88.5	1	lemon-Cit
97.9	1.6	mint-Men
108.1	1.4	eucal-Euc
117.3	2.1	eucal-Men
137.6	1.9	odorless
147.7	1.8	lemon-Cit
157.4	1.8	yuzu-Lim
167.8	1.7	yuzu-Cit
177.6	1.6	lemon-Lim
187.1	2.2	eucal-Euc
197	0.7	odorless
198.7	0.8	odorless
207.3	1.9	mint-Men
217	2.5	mint-Euc
228.2	1.3	yuzu-Cit
237.8	1.7	eucal-Men
247.6	1.9	lemon-Lim
257	1.8	odorless
268.2	1.3	mint-Men
277	2	eucal-Euc
287	1.1	odorless
297.3	1.8	yuzu-Cit
308	1.5	lemon-Lim
317	0.7	odorless
318.1	1.4	odorless
328	1.5	eucal-Men
337.5	1.8	lemon-Lim
347.1	2.4	mint-Euc
357.8	1.7	yuzu-Cit
367.4	1.7	eucal-Euc
377.5	1.7	lemon-Cit
387.6	1.7	mint-Men
397.6	1.6	yuzu-Lim
407.7	1.5	odorless
417.9	1.6	yuzu-Lim
427.3	1.5	odorless
437	0.8	lemon-Cit
438.3	1.2	lemon-Cit
447	0.7	eucal-Men
448.3	1.2	eucal-Men
457.7	1.8	mint-Euc
467	0.9	yuzu-Cit
468.2	1.3	yuzu-Cit
477.6	1.7	lemon-Lim
487.8	1.7	mint-Euc
497.4	1.8	odorless
507	1.8	eucal-Men
