onset	duration	trial_type
17	1	yuzu-Lim
19	0.5	yuzu-Lim
27.7	1.6	odorless
37.1	1.6	lemon-Cit
47	1.7	mint-Men
57	1.2	eucal-Euc
67	1	yuzu-Cit
77	1	lemon-Lim
87.2	1.9	eucal-Euc
97	0.7	odorless
107	1.7	mint-Men
117	1.9	odorless
127.4	1.8	mint-Men
137.5	1.9	lemon-Lim
148.2	1.3	eucal-Euc
157.1	1.7	yuzu-Cit
167.9	1.6	mint-Euc
177	0.8	yuzu-Cit
188.5	1	eucal-Men
197	1.9	lemon-Lim
207	0.5	odorless
209.1	0.4	odorless
217	1.5	eucal-Men
227.4	1.8	mint-Euc
238.6	0.9	odorless
247	0.5	lemon-Cit
248.7	0.8	lemon-Cit
257.1	1.7	yuzu-Lim
267	0.4	odorless
269	0.5	odorless
277	1.6	eucal-Men
287	2.1	lemon-Lim
297.7	1.7	mint-Euc
307	1.2	yuzu-Cit
318.1	1.4	yuzu-Lim
327	0.6	odorless
347	1.3	eucal-Men
357	1.1	mint-Euc
367	0.5	mint-Men
368.7	0.8	mint-Men
377	1.8	eucal-Euc
388.5	1	odorless
397	1.5	yuzu-Cit
417.1	1.8	yuzu-Cit
427	0.7	lemon-Lim
428.7	0.8	lemon-Lim
437	2.3	mint-Euc
447.2	1.7	odorless
457	1.8	eucal-Men
467.2	1.8	eucal-Euc
477	0.8	lemon-Cit
487.5	1.9	mint-Men
497.4	1.7	yuzu-Lim
507.4	1.7	odorless
