onset	duration	trial_type
17.5	2	odorless
27	0.3	mint-Men
29.2	0.3	mint-Men
37.7	1.8	lemon-Lim
49.2	0.3	eucal-Euc
57	2.3	yuzu-Cit
67.4	2.1	yuzu-Lim
78.7	0.8	odorless
88.4	1.1	lemon-Cit
119	0.5	eucal-Men
127	2	mint-Euc
137	0.3	odorless
147.2	2.3	lemon-Cit
157.5	1.9	yuzu-Lim
168.5	1	yuzu-Cit
177.4	2.1	lemon-Lim
188.3	1	eucal-Euc
197.7	1.8	odorless
209.1	0.4	mint-Men
217.2	1.6	mint-Euc
228.2	1.3	yuzu-Cit
238.3	1.1	eucal-Men
248.5	1	lemon-Lim
257.6	1.9	odorless
267	0.3	mint-Men
268.5	1	mint-Men
277.5	2	eucal-Euc
307.5	2	lemon-Lim
327.5	2	eucal-Men
337	2.5	lemon-Lim
348.5	1	mint-Euc
357	0.7	yuzu-Cit
377.7	1.6	lemon-Cit
388	1.5	mint-Men
397	1.3	yuzu-Lim
408.4	1.1	odorless
417.9	1.6	yuzu-Lim
427	1.8	odorless
437	2.5	lemon-Cit
468	1.5	yuzu-Cit
477.3	1	lemon-Lim
488.4	1.1	mint-Euc
498.8	0.7	odorless
507	2	eucal-Men
