onset	duration	trial_type
17.1	2	mint-Euc
27.7	1.4	lemon-Cit
37.3	1.8	eucal-Men
47	2.3	yuzu-Lim
57.4	1.1	odorless
67	2.3	eucal-Men
77	1.6	mint-Euc
87.3	1.5	odorless
97	2.1	yuzu-Cit
107	2.2	lemon-Lim
117	1.8	lemon-Cit
127.6	1.7	yuzu-Lim
137	1.9	eucal-Euc
147.3	1.6	odorless
157.2	2	mint-Men
167.3	1.5	odorless
177.4	2	mint-Men
187	2.3	yuzu-Lim
197.1	1.8	eucal-Euc
207.3	1.5	lemon-Cit
217.4	1.9	lemon-Lim
227.5	1	odorless
237.2	2	yuzu-Cit
247.4	1.8	mint-Men
257	2.1	eucal-Euc
267.1	2.3	lemon-Cit
277.1	2.1	yuzu-Lim
287.4	2	mint-Euc
297	1.6	odorless
307.3	2	eucal-Men
317	2	eucal-Euc
327	1.9	yuzu-Cit
337	1.9	mint-Men
347	2	lemon-Lim
357.1	1.7	odorless
367.7	1.6	lemon-Lim
377	1.5	odorless
387	1.6	yuzu-Cit
397	1.6	eucal-Men
407	2	mint-Euc
417.5	1.3	mint-Men
427	1.8	eucal-Euc
437	1.9	odorless
447.7	1.4	lemon-Cit
457.3	1.8	yuzu-Lim
467	1.5	odorless
477	1.8	eucal-Men
487.3	2.1	yuzu-Lim
497	2	mint-Euc
507	2.1	lemon-Cit
