onset	duration	trial_type
17	0.6	odorless
18.9	0.6	odorless
27.6	1	mint-Men
37.2	2.1	lemon-Lim
47	2.1	eucal-Euc
57.6	1	yuzu-Cit
67.3	2	yuzu-Lim
77.6	1.9	odorless
87.4	1.8	lemon-Cit
97	2.1	mint-Men
107.5	1.9	eucal-Euc
117	2.4	eucal-Men
127.3	2.2	mint-Euc
137	2.1	odorless
147	2.3	lemon-Cit
157.1	2.3	yuzu-Lim
167	2.5	yuzu-Cit
177	2.1	lemon-Lim
187.3	2.2	eucal-Euc
197	2.1	odorless
207	2.3	mint-Men
217	2.5	mint-Euc
227.1	2.4	yuzu-Cit
237.1	2.2	eucal-Men
247.5	2	lemon-Lim
257	0.6	odorless
257.8	1.2	odorless
267.5	1.5	mint-Men
277.4	2	eucal-Euc
287.7	1.4	odorless
297.5	2	yuzu-Cit
307.4	1.9	lemon-Lim
317	1.2	odorless
327	2.5	eucal-Men
337	2.4	lemon-Lim
347	2.3	mint-Euc
357.6	1.7	yuzu-Cit
367	2.1	eucal-Euc
377.5	1.9	lemon-Cit
387.4	1.9	mint-Men
397.4	1.9	yuzu-Lim
407	1.8	odorless
417.1	2	yuzu-Lim
427.3	1.5	odorless
437.2	2.1	lemon-Cit
447.1	2.2	eucal-Men
457	2.4	mint-Euc
467	2.5	yuzu-Cit
477	2.3	lemon-Lim
487.7	1.7	mint-Euc
497	1.9	odorless
507.2	1.8	eucal-Men
