onset	duration	trial_type
17	0.4	lemon-Cit
17.6	1.9	lemon-Cit
27	1.1	yuzu-Lim
37	2	eucal-Euc
47	1.5	odorless
57.4	1.3	mint-Men
67.2	1.3	mint-Euc
77	1.5	lemon-Cit
87	1.4	eucal-Men
97	1.5	yuzu-Lim
107.2	1.3	odorless
117.2	1.4	lemon-Lim
127	1.6	odorless
137	1.6	yuzu-Cit
147.2	1.4	mint-Men
149.2	0.3	mint-Men
157.3	1.1	eucal-Euc
167.4	1.4	eucal-Men
177	0.3	mint-Euc
177.8	1.1	mint-Euc
187	1.1	odorless
197	1.1	yuzu-Cit
208.2	1.2	lemon-Lim
217	1.5	odorless
227	2	mint-Men
257.1	1.7	lemon-Cit
297.2	1.3	eucal-Men
307.2	1.3	mint-Euc
317.1	1.4	lemon-Cit
319.1	0.4	lemon-Cit
327	1.3	yuzu-Lim
348	1.4	odorless
357	1.4	eucal-Men
369.2	0.3	odorless
377.3	1.2	eucal-Men
379	0.5	eucal-Men
387	1.6	yuzu-Lim
417.2	1.4	eucal-Euc
427	0.3	yuzu-Cit
427.7	1.1	yuzu-Cit
437	1.6	mint-Men
457	1.4	odorless
458.9	0.6	odorless
477	1.3	eucal-Euc
497	1.4	lemon-Cit
499.2	0.3	lemon-Cit
507.1	1.5	yuzu-Lim
509.2	0.3	yuzu-Lim
