onset	duration	trial_type
17	2	yuzu-Lim
27	1.5	odorless
37.2	2.1	lemon-Cit
47.3	1.6	mint-Men
57	1.7	eucal-Euc
67.1	1.4	yuzu-Cit
77.2	1.6	lemon-Lim
87	1.7	eucal-Euc
97	0.3	odorless
97.6	1.5	odorless
107.2	1.5	mint-Men
127.2	1.6	mint-Men
147	1.7	eucal-Euc
157	2.3	yuzu-Cit
167.6	1.4	mint-Euc
169.2	0.3	mint-Euc
177	1.9	yuzu-Cit
207.2	1.9	odorless
217.2	1.8	eucal-Men
227.6	1.9	mint-Euc
237.2	1.2	odorless
239	0.5	odorless
247	0.4	lemon-Cit
247.7	1.5	lemon-Cit
258.7	0.8	yuzu-Lim
277.1	1.8	eucal-Men
287.7	1.2	lemon-Lim
307	1.8	yuzu-Cit
317.1	1.9	yuzu-Lim
327.2	1.9	odorless
337.2	1.7	lemon-Cit
347	1.9	eucal-Men
358	1.4	mint-Euc
367.3	1.6	mint-Men
377.2	1.4	eucal-Euc
378.9	0.6	eucal-Euc
397	1.4	yuzu-Cit
407.2	1.6	lemon-Lim
437.4	1.3	mint-Euc
447.6	1.5	odorless
457	1.7	eucal-Men
477.7	1.2	lemon-Cit
487	1.3	mint-Men
507	1.5	odorless
