onset	duration	trial_type
17	2.1	lemon-Cit
27	2.1	yuzu-Lim
37	1.9	eucal-Euc
47.6	1.6	odorless
57.5	1.3	mint-Men
67.1	1.7	mint-Euc
77.3	1.9	lemon-Cit
87.5	1.1	eucal-Men
97.4	2.1	yuzu-Lim
107.1	2.2	odorless
117	2.2	lemon-Lim
127.5	2	odorless
137.1	2.1	yuzu-Cit
147.1	2.2	mint-Men
157	2.1	eucal-Euc
167	1.4	eucal-Men
177.3	2	mint-Euc
197	0.3	yuzu-Cit
198	1.5	yuzu-Cit
207.1	2.2	lemon-Lim
217	2.1	odorless
237.3	2.2	yuzu-Lim
247	2.1	eucal-Euc
257	2.1	lemon-Cit
267.3	1.8	lemon-Lim
277	2.5	odorless
287	1.7	yuzu-Cit
297	2.2	eucal-Men
307.4	1.4	mint-Euc
317.2	1.8	lemon-Cit
327	2	yuzu-Lim
337.7	1.6	mint-Euc
347.7	1.8	odorless
357	2.5	eucal-Men
367	2.5	odorless
377	2.3	eucal-Men
387	2.2	yuzu-Lim
397	2.1	mint-Euc
407	2.1	lemon-Cit
417	2.2	eucal-Euc
427	1.9	yuzu-Cit
437.4	1.4	mint-Men
447.4	2.1	lemon-Lim
457	1.8	odorless
467	1.8	mint-Men
477.4	1.4	eucal-Euc
487.3	1.4	odorless
497	1.9	lemon-Cit
507.8	1.3	yuzu-Lim
