onset	duration	trial_type
17	2	yuzu-Lim
27.2	2	odorless
37	2	lemon-Cit
47	2.2	mint-Men
57.2	1.7	eucal-Euc
67.1	2.1	yuzu-Cit
77	2.1	lemon-Lim
87.4	1.7	eucal-Euc
97.5	1.8	odorless
107.5	1.5	mint-Men
117.5	2	odorless
127	2	mint-Men
137.2	2.1	lemon-Lim
147.2	1.8	eucal-Euc
157	2	yuzu-Cit
167.8	1.7	mint-Euc
177.5	2	yuzu-Cit
187.5	1.7	eucal-Men
197.5	1.6	lemon-Lim
207.4	1.7	odorless
217.5	1.7	eucal-Men
227.5	1.3	mint-Euc
237.5	1.8	odorless
247.4	1.5	lemon-Cit
257	1.9	yuzu-Lim
267.3	1.8	odorless
277.3	1.5	eucal-Men
287.2	1.9	lemon-Lim
297.3	2	mint-Euc
307	2.1	yuzu-Cit
317	2.4	yuzu-Lim
327	2.3	odorless
337	2.3	lemon-Cit
347.3	1.5	eucal-Men
357.2	1.7	mint-Euc
367.3	1.7	mint-Men
377.5	2	eucal-Euc
387.5	1.5	odorless
397	2.1	yuzu-Cit
407.1	2	lemon-Lim
417.3	1.7	yuzu-Cit
427	2.4	lemon-Lim
437	2	mint-Euc
447.3	1.9	odorless
457	2.3	eucal-Men
467.3	1.6	eucal-Euc
477	1.7	lemon-Cit
487.1	1.5	mint-Men
497	1.9	yuzu-Lim
507.6	1.8	odorless
