onset	duration	trial_type
17.7	1.8	yuzu-Lim
27.5	1.6	odorless
37.9	1.6	lemon-Cit
47.7	1.5	mint-Men
57.3	2.1	eucal-Euc
67.5	1.8	yuzu-Cit
77.3	2.2	lemon-Lim
87.6	1.8	eucal-Euc
97	2	odorless
107.3	2.2	mint-Men
127.8	1.7	mint-Men
138.1	1.3	lemon-Lim
148.1	1	eucal-Euc
157.4	2.1	yuzu-Cit
167.3	2	mint-Euc
177.7	1.6	yuzu-Cit
188	1.1	eucal-Men
197.8	1.7	lemon-Lim
207.6	1.9	odorless
217.5	2	eucal-Men
227.7	1.8	mint-Euc
237.4	2.1	odorless
247	0.5	lemon-Cit
248.4	1.1	lemon-Cit
257.4	2.1	yuzu-Lim
267.8	1.7	odorless
277	2.3	eucal-Men
287.7	1.8	lemon-Lim
298	1.5	mint-Euc
307.6	1.9	yuzu-Cit
317.1	2.4	yuzu-Lim
327	0.3	odorless
327.7	1.7	odorless
337.8	1.6	lemon-Cit
347	0.3	eucal-Men
348	1.2	eucal-Men
357	0.3	mint-Euc
358.1	1.2	mint-Euc
367.3	2.2	mint-Men
377.3	2.2	eucal-Euc
387.5	2	odorless
397.7	1.3	yuzu-Cit
407.9	1.6	lemon-Lim
417.7	1.5	yuzu-Cit
429.1	0.4	lemon-Lim
437.7	1.8	mint-Euc
447.8	1.5	odorless
457	0.3	eucal-Men
458.4	0.7	eucal-Men
467	0.4	eucal-Euc
468.9	0.6	eucal-Euc
477	1.9	lemon-Cit
487.7	1.6	mint-Men
497.5	2	yuzu-Lim
507.7	1.8	odorless
