onset	duration	trial_type
17.7	1.8	odorless
27.4	2.1	mint-Men
37.4	2.1	lemon-Lim
47	1.9	eucal-Euc
57.8	1.4	yuzu-Cit
67.6	1.6	yuzu-Lim
77	0.6	odorless
78.4	1.1	odorless
87.2	1.6	lemon-Cit
97.2	2.3	mint-Men
107.8	1.6	eucal-Euc
117.6	1.8	eucal-Men
127.2	2.3	mint-Euc
147.6	1.9	lemon-Cit
157.6	1.5	yuzu-Lim
167.5	2	yuzu-Cit
177.8	1.7	lemon-Lim
187.8	1.5	eucal-Euc
198.4	1.1	odorless
207.7	1.8	mint-Men
217.4	2.1	mint-Euc
227.6	1.6	yuzu-Cit
237.8	1.2	eucal-Men
247	2.4	lemon-Lim
257.8	1.7	odorless
267.6	1.8	mint-Men
277	2	eucal-Euc
287.3	2.2	odorless
297	2.1	yuzu-Cit
309	0.5	lemon-Lim
317.8	1.5	odorless
327.3	1.7	eucal-Men
337.7	1.8	lemon-Lim
347	0.6	mint-Euc
358.2	1.2	yuzu-Cit
367	2.2	eucal-Euc
378.2	1.3	lemon-Cit
387.6	1.9	mint-Men
397.7	1.5	yuzu-Lim
407	2.1	odorless
417	2.3	yuzu-Lim
428.7	0.8	odorless
437	2.5	lemon-Cit
447.4	1.9	eucal-Men
457.6	1.5	mint-Euc
467.3	2.2	yuzu-Cit
477	2.1	lemon-Lim
487.7	1.6	mint-Euc
497.6	1.9	odorless
507.5	1.9	eucal-Men
